0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:56 +0900] "GET /FirstJsp/css/components/view.css HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:56 +0900] "GET /FirstJsp/css/img/header-bg.jpg HTTP/1.1" 200 40419
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:46:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:47:00 +0900] "POST /FirstJsp/loginAction.jsp HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:47:01 +0900] "GET /FirstJsp/index.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:47:01 +0900] "GET /FirstJsp/css/img/bg.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:47:11 +0900] "GET /FirstJsp/player.jsp HTTP/1.1" 200 43928
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:47:17 +0900] "GET /FirstJsp/team.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:47:18 +0900] "GET /FirstJsp/team.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:47:25 +0900] "GET /FirstJsp/player.jsp HTTP/1.1" 200 43928
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:47:30 +0900] "GET /FirstJsp/team.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:47:32 +0900] "GET /FirstJsp/board.jsp HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:47:35 +0900] "GET /FirstJsp/team.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:47:39 +0900] "GET /FirstJsp/player.jsp HTTP/1.1" 200 43928
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:48:23 +0900] "GET /FirstJsp/team.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:48:24 +0900] "GET /FirstJsp/player.jsp HTTP/1.1" 200 43928
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:48:25 +0900] "GET /FirstJsp/board.jsp HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:48:27 +0900] "GET /FirstJsp/index.jsp HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/index.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/css/styles.css HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/css/img/logo.png HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/css/img/foot_logo.png HTTP/1.1" 200 2523
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/css/reset.css HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/css/variables.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/css/components/top-bar.css HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/css/components/info-bar.css HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/css/components/main.css HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/css/components/header-bar.css HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/css/components/index.css HTTP/1.1" 200 2256
0:0:0:0:0:0:0:1 - - [05/Dec/2022:10:49:05 +0900] "GET /FirstJsp/css/components/bottom-bar.css HTTP/1.1" 200 179
